geo,name,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
arg,Argentina,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.21,33.22,33.23,33.24,33.25,33.25,33.26,33.27,33.28,33.29,33.3,33.31,33.32,33.33,33.34,33.35,33.35,33.36,33.37,33.38,33.39,33.4,33.41,33.42,33.43,33.42,33.41,33.39,33.38,33.37,33.28,33.19,33.1,33.0,32.91,33.2,33.5,33.79,34.08,34.37,34.24,34.11,33.98,33.84,33.71,34.43,35.15,35.87,36.58,37.3,37.9,38.5,39.1,39.7,40.3,41.08,41.86,42.65,43.43,44.21,44.78,45.34,45.9,46.46,47.02,47.85,48.68,42.54,50.33,51.16,51.66,52.17,52.67,53.18,53.68,54.04,54.4,54.76,55.13,55.49,55.5,55.52,55.53,55.55,55.56,56.56,57.56,58.56,59.56,60.56,61.19,61.82,62.45,63.07,63.7,63.62,63.54,63.46,63.37,63.3,63.54,64.19,64.12,64.71,64.51,65.18,65.15,65.4,65.4,65.26,65.74,65.75,65.75,65.82,66.13,66.58,66.55,65.99,65.93,66.13,66.89,67.33,67.73,67.91,68.03,66.99,67.69,69.04,69.84,70.23,70.32,70.92,70.71,70.82,71.73,71.95,72.06,72.13,72.34,72.47,72.69,72.75,73.03,73.36,73.44,73.49,73.6,73.65,73.79,74.22,74.33,74.28,74.43,74.92,75.28,75.41,75.32,75.68,75.85,75.94,76.04,76.17,76.27,76.47,76.5,76.24,76.28,76.48,76.58,75.2,74.7,75.37,77.27,77.43,77.6,77.77,77.93,78.1,78.27,78.43,78.59,78.76,78.93,79.09,79.26,79.42,79.59,79.76,79.92,80.09,80.25,80.42,80.58,80.74,80.89,81.05,81.21,81.37,81.52,81.66,81.8,81.95,82.1,82.24,82.38,82.52,82.66,82.8,82.94,83.06,83.19,83.32,83.45,83.57,83.71,83.83,83.96,84.08,84.21,84.33,84.45,84.57,84.69,84.82,84.94,85.06,85.18,85.3,85.41,85.53,85.64,85.76,85.89,86.0,86.12,86.23,86.35,86.46,86.58,86.7,86.81,86.94,87.05,87.16,87.27,87.39,87.5,87.61,87.73,87.84
bra,Brazil,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,31.99,31.99,31.99,31.99,31.99,31.99,31.99,31.99,31.99,31.99,31.99,31.99,31.99,31.99,31.99,31.99,31.99,31.99,31.99,31.99,31.99,31.99,31.99,31.99,31.99,31.97,31.95,31.94,31.92,31.9,31.88,31.87,31.85,31.83,31.81,31.8,31.78,31.76,31.74,31.73,31.71,31.69,31.67,31.66,31.64,31.62,31.6,31.59,31.57,31.55,31.53,31.52,31.49,31.47,31.45,31.44,31.42,31.4,31.38,31.37,31.35,31.33,31.31,31.3,31.28,31.26,31.24,31.23,31.21,31.19,31.17,31.16,31.14,31.12,31.1,31.08,31.07,31.05,31.03,31.01,31.0,30.98,30.96,30.94,30.93,30.91,30.89,30.87,30.86,30.84,30.82,30.8,25.97,30.77,30.75,30.73,30.72,30.7,30.69,30.67,30.66,30.64,30.63,30.61,30.6,31.02,31.45,31.87,32.3,32.72,33.14,33.57,33.99,34.41,34.83,35.91,36.99,38.08,39.15,40.23,41.7,43.17,44.63,46.1,47.57,48.05,48.53,48.98,49.46,49.94,50.42,50.89,51.4,51.92,52.44,52.97,53.53,53.99,54.43,54.83,55.19,55.59,56.07,56.52,56.94,57.45,58.03,58.57,59.16,59.78,60.39,61.07,61.72,62.27,62.74,63.3,63.87,64.06,64.21,64.61,65.06,65.65,66.07,66.72,67.29,67.92,68.34,68.43,68.81,69.17,69.52,70.08,70.4,70.79,71.18,71.49,71.76,72.03,72.31,72.81,73.06,73.31,73.5,73.66,73.85,74.01,74.34,74.55,74.83,75.03,75.05,75.44,75.69,75.85,74.51,73.24,73.92,76.69,76.89,77.09,77.3,77.5,77.7,77.9,78.1,78.3,78.49,78.68,78.88,79.07,79.27,79.46,79.65,79.83,80.02,80.21,80.4,80.59,80.77,80.95,81.14,81.32,81.51,81.69,81.87,82.05,82.23,82.4,82.57,82.75,82.91,83.07,83.24,83.4,83.56,83.72,83.87,84.02,84.17,84.32,84.46,84.6,84.74,84.89,85.02,85.16,85.29,85.43,85.56,85.7,85.83,85.96,86.09,86.21,86.34,86.47,86.61,86.73,86.85,86.98,87.1,87.23,87.36,87.47,87.6,87.72,87.84,87.96,88.09,88.2,88.32,88.44,88.56,88.68,88.8
can,Canada,39.0,39.0,39.0,39.0,39.01,39.01,39.01,39.01,39.01,39.01,39.01,39.02,39.02,39.02,39.02,39.02,39.02,39.03,39.03,39.03,39.03,39.03,39.03,39.03,39.04,39.04,39.04,39.04,39.04,39.04,39.04,39.05,39.17,39.3,39.43,39.55,39.68,39.81,39.94,40.06,40.19,40.32,40.39,40.47,40.54,40.61,40.69,40.76,40.84,40.91,40.99,41.06,41.11,41.17,41.23,41.28,41.34,41.39,41.44,41.5,41.55,41.62,41.71,41.81,41.9,42.0,42.1,42.2,42.3,42.39,42.49,42.59,42.8,43.03,43.25,43.47,43.68,43.9,44.12,44.35,44.56,44.78,44.82,44.87,44.91,44.97,45.01,45.06,45.1,45.15,45.19,45.24,45.59,45.94,46.28,46.64,46.98,47.33,47.68,48.02,48.38,48.72,49.11,49.5,49.9,50.28,50.67,51.06,51.46,51.85,52.23,52.62,53.08,53.53,53.98,54.44,54.9,55.35,47.28,56.26,56.71,57.16,57.17,57.17,58.99,59.47,58.15,58.84,58.73,58.13,59.12,60.54,61.61,62.55,62.96,62.68,62.91,61.54,63.51,63.94,64.22,63.97,64.91,64.82,65.56,66.55,66.75,66.99,67.55,67.87,68.5,68.8,69.03,69.46,70.12,70.33,70.34,70.38,70.72,70.89,71.15,71.34,71.39,71.48,71.75,71.9,72.03,72.21,72.41,72.58,72.76,72.97,73.0,73.18,73.38,73.63,74.03,74.28,74.61,74.91,75.21,75.52,75.81,76.09,76.35,76.38,76.6,76.8,76.98,77.16,77.43,77.64,77.81,77.85,78.0,78.12,78.37,78.62,78.83,79.07,79.36,79.6,79.79,79.98,80.24,80.43,80.74,80.9,81.11,81.39,81.64,81.89,82.01,82.12,82.15,82.26,82.29,82.36,82.19,82.18,81.86,82.47,82.66,82.84,83.0,83.15,83.32,83.46,83.62,83.76,83.9,84.04,84.17,84.32,84.44,84.57,84.71,84.83,84.97,85.1,85.22,85.35,85.48,85.6,85.73,85.86,85.99,86.11,86.23,86.35,86.47,86.59,86.71,86.83,86.95,87.07,87.19,87.32,87.43,87.55,87.67,87.78,87.91,88.02,88.13,88.26,88.37,88.49,88.6,88.72,88.83,88.95,89.07,89.19,89.3,89.41,89.54,89.64,89.76,89.87,89.99,90.1,90.22,90.34,90.45,90.57,90.68,90.81,90.92,91.03,91.14,91.25,91.37,91.49,91.61,91.72,91.84,91.95,92.08,92.18,92.3
chl,Chile,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,31.98,31.95,31.93,31.91,31.88,31.86,31.84,31.81,31.79,31.76,31.74,31.72,31.69,31.67,31.65,31.62,31.6,31.58,31.55,31.53,31.51,31.48,31.46,31.43,31.41,31.39,31.36,31.34,31.32,31.29,31.27,31.25,31.22,31.2,31.18,31.15,31.13,31.1,31.08,31.06,31.03,31.01,30.99,30.96,30.94,30.92,30.89,30.87,30.85,30.82,30.8,30.77,30.46,30.15,29.84,29.53,29.22,29.47,29.71,29.96,30.2,30.44,30.48,30.51,30.54,30.58,30.61,26.85,30.34,30.2,30.06,29.92,30.92,31.92,32.92,33.91,34.9,35.2,35.49,35.78,36.07,36.36,36.41,36.46,36.5,36.55,36.6,37.48,38.37,39.25,40.13,41.0,41.69,42.37,43.05,43.73,44.42,46.37,48.31,50.26,50.94,53.55,55.31,54.61,54.83,56.07,55.52,55.77,56.07,54.2,57.45,56.75,57.14,57.63,58.7,59.23,60.17,61.0,61.49,61.99,62.56,62.28,63.18,64.94,66.15,66.17,67.2,68.15,68.6,69.44,70.53,71.04,70.93,71.29,71.95,72.61,73.2,73.19,73.16,73.43,74.15,74.74,74.95,75.23,75.28,75.49,75.96,76.2,76.45,76.93,76.99,77.37,77.44,77.56,77.89,78.2,78.38,78.72,78.63,78.61,78.96,79.17,79.31,79.49,79.63,79.97,79.98,80.07,80.16,79.21,78.78,79.35,80.99,81.19,81.39,81.59,81.79,81.98,82.17,82.36,82.55,82.74,82.93,83.1,83.28,83.44,83.61,83.78,83.94,84.09,84.24,84.39,84.54,84.69,84.83,84.98,85.12,85.26,85.39,85.53,85.67,85.8,85.93,86.06,86.21,86.33,86.46,86.59,86.73,86.85,86.98,87.11,87.24,87.37,87.49,87.61,87.74,87.86,87.98,88.12,88.24,88.36,88.48,88.6,88.73,88.85,88.96,89.08,89.2,89.32,89.44,89.56,89.69,89.8,89.93,90.04,90.16,90.28,90.39,90.51,90.63,90.74,90.86,90.98,91.09,91.21,91.32,91.44,91.56,91.67
cub,Cuba,32.2,32.33,32.45,32.58,32.7,32.86,33.02,33.18,33.34,33.5,33.64,33.78,33.92,34.06,34.2,34.3,34.4,34.5,34.6,34.7,35.04,35.38,35.72,36.06,36.4,36.24,36.08,35.92,35.76,35.6,35.74,35.88,36.02,36.16,36.3,36.36,36.42,36.48,36.54,36.6,36.48,36.36,36.24,36.12,36.0,36.04,36.08,36.12,36.16,36.2,36.26,36.37,36.48,36.59,36.7,36.78,36.85,36.92,36.99,37.06,36.75,36.43,36.12,35.8,35.48,34.47,33.45,32.43,31.41,30.39,30.49,30.59,30.7,30.8,30.9,32.17,33.43,34.7,35.97,37.25,38.38,39.52,40.66,41.8,42.95,43.57,44.2,44.82,45.45,46.08,41.75,37.41,33.05,28.69,24.31,23.49,22.67,21.85,21.02,20.19,35.42,35.69,35.97,36.24,36.51,36.79,37.06,37.33,37.61,37.9,38.17,38.45,38.74,39.02,39.31,39.59,39.88,40.17,26.08,40.74,41.04,41.4,41.75,42.11,42.46,42.82,43.48,44.14,44.8,45.47,46.14,46.88,47.63,48.37,49.12,49.86,50.58,51.29,52.0,52.72,53.44,54.28,55.14,55.99,56.84,57.7,59.43,61.16,62.89,64.63,66.38,66.49,66.69,66.78,66.89,67.12,66.89,67.08,67.39,68.27,69.27,68.71,68.79,68.94,70.07,69.81,69.98,70.12,70.11,69.91,70.78,71.72,72.79,72.73,72.66,73.15,73.22,72.73,73.29,73.4,73.57,73.82,74.28,74.56,74.48,74.15,74.77,74.89,74.78,75.26,75.01,75.18,75.15,75.07,75.13,75.39,75.83,76.18,76.34,76.59,77.01,77.17,77.87,77.8,77.8,77.68,78.37,78.46,78.44,78.46,78.46,79.07,78.84,78.81,78.74,78.42,78.52,78.25,78.29,78.67,78.62,74.68,79.22,79.4,79.57,79.75,79.93,80.11,80.29,80.46,80.64,80.8,80.98,81.15,81.32,81.5,81.67,81.84,82.0,82.17,82.34,82.51,82.68,82.85,83.02,83.18,83.34,83.5,83.66,83.82,83.98,84.13,84.28,84.43,84.58,84.73,84.87,85.01,85.15,85.28,85.42,85.56,85.69,85.83,85.96,86.09,86.22,86.35,86.48,86.6,86.72,86.85,86.97,87.1,87.22,87.35,87.46,87.58,87.71,87.82,87.95,88.07,88.2,88.32,88.43,88.55,88.67,88.79,88.9,89.02,89.14,89.26,89.37,89.48,89.6,89.72,89.83,89.96,90.07,90.18,90.3
usa,USA,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.42,39.42,39.42,39.42,39.42,38.01,34.51,34.01,31.01,38.01,39.43,39.43,39.43,39.43,39.43,39.43,39.43,39.43,39.43,39.43,39.43,39.44,39.44,39.44,39.44,40.02,40.6,41.18,41.76,42.35,42.93,43.51,44.09,44.67,45.25,45.63,46.0,46.38,46.75,47.12,47.49,47.86,48.24,48.62,48.99,49.36,50.56,50.66,49.66,50.37,50.17,50.27,51.97,52.88,51.88,53.48,54.18,53.58,54.68,55.19,54.29,54.09,47.28,55.39,55.49,58.3,58.2,57.6,58.6,58.61,58.01,59.51,58.41,58.61,59.72,60.42,61.12,61.08,60.41,61.07,60.53,61.23,62.56,63.26,63.42,63.98,64.77,64.48,65.28,65.78,66.48,66.89,67.46,67.84,68.29,68.38,68.57,68.95,69.71,69.86,69.88,69.7,69.87,70.02,70.06,70.35,70.27,70.15,70.3,70.37,70.36,70.52,70.33,70.61,70.93,71.28,71.4,71.66,72.21,72.73,73.1,73.39,73.63,73.92,73.96,74.27,74.61,74.77,74.88,74.91,75.01,75.12,75.2,75.42,75.72,75.86,76.03,75.92,75.98,76.08,76.41,76.75,76.9,76.92,77.03,77.07,77.18,77.35,77.67,77.73,77.97,78.22,78.4,78.63,78.89,78.93,79.03,79.08,79.08,78.99,78.86,78.98,78.95,78.93,77.22,77.0,78.0,79.53,79.69,79.83,79.98,80.15,80.29,80.45,80.59,80.75,80.9,81.04,81.2,81.35,81.5,81.65,81.8,81.95,82.1,82.25,82.39,82.53,82.68,82.81,82.96,83.09,83.24,83.38,83.5,83.63,83.77,83.91,84.03,84.15,84.28,84.41,84.53,84.65,84.78,84.9,85.01,85.14,85.26,85.38,85.5,85.61,85.74,85.86,85.97,86.09,86.21,86.32,86.44,86.55,86.67,86.79,86.91,87.01,87.13,87.25,87.37,87.48,87.59,87.71,87.83,87.94,88.05,88.17,88.27,88.39,88.5,88.62,88.74,88.85,88.96,89.09,89.19,89.3,89.41
mex,Mexico,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.92,26.92,26.92,26.92,25.72,24.51,23.31,26.64,29.54,28.82,26.26,27.05,25.0,27.6,26.67,28.39,28.7,29.11,26.82,27.9,27.99,28.75,29.24,27.44,27.87,28.31,28.74,29.17,29.6,30.04,30.47,18.21,31.33,31.77,32.21,32.64,33.54,32.84,32.14,34.24,40.35,34.54,35.44,36.24,37.75,38.45,37.35,38.25,40.45,38.35,36.85,39.45,45.56,39.25,42.67,39.89,42.9,43.31,44.33,44.95,46.46,48.48,45.99,48.76,48.9,50.16,51.0,52.82,53.59,54.51,54.92,55.8,56.28,57.15,58.17,59.14,58.94,59.54,59.87,60.4,60.83,61.0,61.23,61.44,62.49,62.75,63.0,63.69,64.21,64.62,65.06,65.9,65.93,66.19,66.57,67.15,67.76,68.36,68.62,69.23,69.65,69.92,70.33,70.85,71.29,71.55,71.82,72.18,72.35,72.69,72.93,73.2,73.69,74.21,74.57,74.62,74.68,75.05,75.01,75.34,75.57,75.24,75.05,75.25,75.55,75.72,75.52,75.61,75.73,75.47,75.5,75.48,75.63,71.48,71.56,76.27,76.48,76.68,76.88,77.08,77.28,77.48,77.68,77.86,78.06,78.26,78.45,78.64,78.83,79.02,79.21,79.39,79.58,79.76,79.95,80.14,80.32,80.5,80.68,80.86,81.04,81.23,81.4,81.59,81.77,81.95,82.12,82.3,82.47,82.64,82.82,82.98,83.16,83.33,83.49,83.66,83.82,83.98,84.14,84.29,84.45,84.6,84.75,84.9,85.05,85.2,85.34,85.47,85.62,85.75,85.89,86.03,86.16,86.29,86.42,86.55,86.68,86.81,86.94,87.07,87.2,87.32,87.44,87.57,87.69,87.81,87.93,88.06,88.18,88.3,88.42,88.54,88.67,88.78
deu,Germany,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.36,38.36,38.36,38.36,38.35,38.35,38.35,38.35,38.34,38.34,38.34,38.34,38.34,38.33,38.33,38.33,38.33,38.32,38.32,38.32,38.32,38.32,38.31,38.42,38.52,38.63,38.73,38.84,38.94,39.05,39.15,39.25,39.36,39.65,39.94,40.23,40.53,40.81,41.1,41.4,41.68,41.98,42.27,42.57,42.87,43.18,43.48,43.79,44.09,44.39,44.7,45.0,45.3,45.89,46.47,47.07,47.65,48.24,48.82,49.41,49.99,46.0,40.37,38.84,39.92,32.81,48.12,53.28,54.78,55.38,55.98,56.57,57.16,57.57,57.97,58.37,58.77,59.18,59.58,59.99,60.38,60.79,61.19,61.47,61.75,62.03,60.68,60.34,58.68,54.7,49.43,36.79,28.84,60.16,61.75,63.34,64.94,66.51,66.91,67.33,67.72,68.1,68.53,68.89,68.9,69.31,69.35,69.41,69.76,70.01,70.18,70.53,70.68,70.76,70.81,70.54,70.38,70.61,70.81,71.02,71.29,71.56,71.67,72.1,72.55,72.7,72.99,73.26,73.52,73.81,74.14,74.58,74.83,75.06,75.32,75.46,75.65,75.66,75.85,76.17,76.34,76.61,76.87,77.14,77.48,77.81,78.1,78.39,78.67,78.77,78.91,79.35,79.64,79.89,80.04,80.15,80.29,80.5,80.67,80.79,80.79,81.01,80.88,80.95,81.09,81.15,81.2,80.79,80.27,80.63,81.82,81.98,82.13,82.29,82.43,82.59,82.74,82.88,83.02,83.15,83.3,83.44,83.57,83.7,83.84,83.95,84.09,84.21,84.34,84.45,84.59,84.7,84.83,84.95,85.07,85.18,85.31,85.42,85.54,85.65,85.77,85.89,86.0,86.12,86.24,86.36,86.48,86.59,86.71,86.82,86.93,87.06,87.18,87.27,87.39,87.52,87.64,87.76,87.87,87.97,88.1,88.21,88.32,88.43,88.54,88.66,88.79,88.9,89.01,89.12,89.23,89.35,89.46,89.58,89.69,89.8,89.92,90.03,90.14,90.27,90.38,90.51,90.61,90.73,90.84,90.96,91.08,91.19
gbr,UK,38.65,37.35,38.62,37.32,41.44,42.32,43.22,40.05,40.35,41.74,38.35,39.89,41.83,43.04,40.24,41.13,39.94,41.04,39.85,40.52,41.31,41.78,41.35,40.05,39.19,39.94,39.83,41.14,42.03,41.56,43.02,40.84,40.16,41.35,40.78,41.1,41.43,40.2,40.3,40.88,39.93,41.7,41.35,41.86,41.55,42.56,39.96,38.33,39.5,37.38,42.8,41.42,40.93,40.56,39.34,41.04,43.26,41.89,40.05,40.85,43.02,42.39,42.54,40.42,39.99,40.67,40.43,42.64,42.02,41.7,40.98,41.34,42.93,43.81,42.16,41.88,43.73,44.74,43.05,44.31,43.82,46.16,44.92,45.14,44.84,45.81,45.38,45.7,46.87,46.4,44.81,44.35,45.57,44.93,48.41,45.79,47.48,47.3,47.05,46.2,46.39,47.99,49.16,50.51,49.19,50.95,50.67,51.53,51.93,52.62,54.09,51.64,54.66,53.94,52.1,48.3,47.83,45.67,40.52,54.24,56.73,58.48,57.26,59.54,58.31,58.65,59.8,59.18,60.14,57.85,61.04,60.26,60.79,60.83,61.56,62.22,62.02,62.05,63.48,63.87,61.14,61.55,64.17,64.19,65.02,66.03,66.65,66.61,68.68,68.37,68.88,68.76,69.49,70.03,70.34,70.46,70.64,70.77,70.95,71.06,71.17,71.08,71.05,71.1,71.5,71.65,71.7,72.01,71.93,71.88,72.08,72.24,72.16,72.33,72.53,72.78,72.93,73.24,73.3,73.42,73.79,74.08,74.24,74.51,74.76,74.81,75.0,75.25,75.39,75.6,75.85,76.08,76.34,76.43,76.73,76.84,77.05,77.3,77.45,77.6,77.97,78.29,78.45,78.64,79.04,79.33,79.55,79.78,79.97,80.32,80.58,80.81,80.92,80.96,81.09,81.05,81.09,81.16,81.05,81.07,79.79,80.09,81.5,81.65,81.79,81.93,82.07,82.22,82.36,82.51,82.65,82.81,82.95,83.08,83.22,83.35,83.49,83.63,83.76,83.89,84.02,84.14,84.28,84.39,84.52,84.64,84.76,84.88,85.01,85.12,85.25,85.38,85.48,85.6,85.73,85.84,85.95,86.08,86.18,86.29,86.42,86.52,86.64,86.75,86.87,86.99,87.1,87.21,87.34,87.44,87.55,87.68,87.78,87.89,88.0,88.12,88.23,88.34,88.46,88.57,88.68,88.8,88.91,89.02,89.13,89.24,89.35,89.47,89.58,89.7,89.81,89.92,90.04,90.14,90.26,90.37,90.49,90.6,90.72,90.83,90.94
swe,Sweden,32.16,36.9,40.2,40.28,39.7,41.05,36.17,38.76,30.15,26.9,31.99,34.58,35.07,36.49,38.57,40.42,41.74,40.29,40.02,36.97,40.23,38.14,42.76,45.19,44.97,45.24,43.08,42.64,37.74,36.18,40.97,38.98,40.84,42.5,38.53,47.14,45.13,39.57,39.98,39.88,43.98,45.17,42.8,42.82,44.03,45.99,42.04,40.12,45.13,44.5,44.69,43.62,41.35,39.99,44.56,43.09,42.15,34.65,42.01,44.28,48.49,47.14,42.57,45.4,44.79,45.42,44.75,46.21,43.26,40.99,45.04,49.01,50.12,48.72,44.31,44.65,44.86,46.09,46.77,48.97,47.67,48.55,48.64,49.1,49.22,49.0,50.66,51.52,52.41,52.37,50.55,51.16,50.68,51.43,52.17,54.24,53.57,54.22,54.77,51.03,52.35,53.01,54.85,55.18,55.5,54.65,56.8,57.08,56.53,58.53,57.91,58.14,57.91,58.8,58.38,57.32,58.34,59.03,49.92,56.7,58.94,61.17,61.19,63.15,62.15,62.71,62.94,61.74,62.43,62.48,63.35,62.85,64.12,65.0,65.16,65.04,64.79,64.81,65.76,66.59,66.93,67.23,69.17,68.93,67.94,68.54,69.72,69.68,70.94,71.02,71.36,71.6,71.99,72.18,72.54,72.76,72.87,72.88,73.28,73.45,73.41,73.64,73.71,73.87,74.02,74.19,74.34,74.36,74.37,74.53,74.83,74.89,74.96,75.11,75.19,75.26,75.38,75.58,75.75,75.82,76.07,76.36,76.62,76.89,77.08,77.09,77.28,77.35,77.44,77.8,77.95,78.07,78.35,78.54,78.84,79.12,79.31,79.52,79.64,79.79,80.0,80.15,80.31,80.52,80.67,80.98,81.13,81.31,81.52,81.67,81.86,81.99,82.11,82.26,82.46,82.55,82.62,82.68,82.73,82.83,82.21,82.76,83.28,83.43,83.59,83.72,83.87,84.0,84.14,84.27,84.4,84.53,84.66,84.78,84.9,85.02,85.15,85.28,85.39,85.51,85.64,85.76,85.87,85.99,86.12,86.24,86.35,86.46,86.58,86.7,86.81,86.93,87.05,87.16,87.29,87.41,87.52,87.64,87.75,87.87,87.99,88.11,88.22,88.34,88.45,88.56,88.68,88.79,88.9,89.01,89.13,89.25,89.36,89.47,89.6,89.72,89.83,89.94,90.05,90.17,90.27,90.39,90.5,90.62,90.74,90.86,90.97,91.08,91.2,91.31,91.42,91.53,91.65,91.77,91.87,91.98,92.1,92.21,92.32,92.45,92.55
