geo,name,ano,agricultura,industria,servicos
arg,Argentina,1991,0.34272,32.9085,66.74878
arg,Argentina,1992,0.40266,32.35424,67.24309
arg,Argentina,1993,0.45267,29.71407,69.83325
arg,Argentina,1994,0.45205,28.58887,70.95909
arg,Argentina,1995,0.62242,27.08517,72.29241
arg,Argentina,1996,0.76305,24.9937,74.24325
arg,Argentina,1997,0.79414,25.54669,73.65917
arg,Argentina,1998,0.76214,24.88345,74.35442
arg,Argentina,1999,0.74201,23.66706,75.59093
arg,Argentina,2000,0.67266,22.77165,76.55568
arg,Argentina,2001,0.83273,22.01322,77.15404
arg,Argentina,2002,0.9831,20.2239,78.793
arg,Argentina,2003,1.39917,21.79347,76.80736
arg,Argentina,2004,1.49592,22.69329,75.81079
arg,Argentina,2005,1.27856,23.2614,75.46004
arg,Argentina,2006,1.05139,23.67281,75.27579
arg,Argentina,2007,1.12064,23.92668,74.95269
arg,Argentina,2008,1.19498,24.02068,74.78434
arg,Argentina,2009,1.23059,23.18986,75.57955
arg,Argentina,2010,1.27318,23.34031,75.38651
arg,Argentina,2011,0.63563,23.97097,75.39339
arg,Argentina,2012,0.61589,23.65582,75.72829
arg,Argentina,2013,0.61934,23.9453,75.43537
arg,Argentina,2014,0.54914,24.15679,75.29407
arg,Argentina,2015,0.26164,23.66022,76.07813
arg,Argentina,2016,0.12517,22.88391,76.99093
arg,Argentina,2017,0.05925,22.43641,77.50434
arg,Argentina,2018,0.09525,21.91054,77.99421
arg,Argentina,2019,0.0579,21.77041,78.17169
aus,Australia,1991,5.3567,23.5067,71.1366
aus,Australia,1992,5.054,23.2896,71.6564
aus,Australia,1993,5.1167,23.2972,71.5861
aus,Australia,1994,4.90149,23.1647,71.9338
aus,Australia,1995,4.77491,22.6253,72.59981
aus,Australia,1996,4.8437,22.1287,73.0276
aus,Australia,1997,4.91001,21.85012,73.23987
aus,Australia,1998,4.8492,21.50562,73.64517
aus,Australia,1999,4.9331,21.1641,73.9028
aus,Australia,2000,4.85739,21.61518,73.52742
aus,Australia,2001,4.7543,20.7395,74.5062
aus,Australia,2002,4.38211,20.91463,74.70327
aus,Australia,2003,3.91311,20.88292,75.20397
aus,Australia,2004,3.7379,21.2405,75.0216
aus,Australia,2005,3.58,21.13409,75.2859
aus,Australia,2006,3.4119,21.28308,75.30502
aus,Australia,2007,3.3206,21.1812,75.4982
aus,Australia,2008,3.3073,21.62422,75.06847
aus,Australia,2009,3.23429,21.14078,75.62492
aus,Australia,2010,3.2304,20.9768,75.7928
aus,Australia,2011,2.8199,20.83242,76.34768
aus,Australia,2012,2.8018,20.7047,76.4935
aus,Australia,2013,2.6182,20.4516,76.93019
aus,Australia,2014,2.8005,20.2847,76.9148
aus,Australia,2015,2.6388,19.39142,77.96978
aus,Australia,2016,2.62,19.3594,78.02059
aus,Australia,2017,2.59601,19.42964,77.97436
aus,Australia,2018,2.61691,19.8873,77.49577
aus,Australia,2019,2.55613,19.03576,78.40813
bra,Brazil,1991,19.6424,23.42366,56.93394
bra,Brazil,1992,19.7537,23.04947,57.19684
bra,Brazil,1993,19.31219,22.98245,57.70536
bra,Brazil,1994,18.69007,23.02935,58.28058
bra,Brazil,1995,18.13732,22.76697,59.09571
bra,Brazil,1996,17.10311,22.84748,60.04941
bra,Brazil,1997,16.85409,22.887,60.25891
bra,Brazil,1998,16.19948,22.80095,60.99957
bra,Brazil,1999,16.68904,22.06191,61.24905
bra,Brazil,2000,16.48448,21.83862,61.6769
bra,Brazil,2001,16.42181,21.57328,62.00491
bra,Brazil,2002,16.52522,22.0146,61.46018
bra,Brazil,2003,16.67527,21.49032,61.83442
bra,Brazil,2004,17.1391,21.61748,61.24342
bra,Brazil,2005,16.62384,21.96046,61.41571
bra,Brazil,2006,15.61822,21.92838,62.4534
bra,Brazil,2007,14.6832,22.49209,62.82471
bra,Brazil,2008,13.8447,23.23745,62.91785
bra,Brazil,2009,13.43194,22.69967,63.8684
bra,Brazil,2010,12.6562,22.56065,64.78315
bra,Brazil,2011,11.98905,22.31074,65.70021
bra,Brazil,2012,11.46919,23.01642,65.51439
bra,Brazil,2013,11.16574,22.94687,65.88739
bra,Brazil,2014,10.33493,22.89399,66.77108
bra,Brazil,2015,10.20263,22.17333,67.62404
bra,Brazil,2016,10.13742,20.88501,68.97757
bra,Brazil,2017,9.45545,20.47726,70.06728
bra,Brazil,2018,9.25931,20.1276,70.61308
bra,Brazil,2019,9.05034,19.9358,71.01386
can,Canada,1991,3.49137,23.87716,72.63147
can,Canada,1992,3.45143,23.18151,73.36706
can,Canada,1993,3.4825,22.5097,74.0078
can,Canada,1994,3.34797,22.6698,73.98223
can,Canada,1995,3.15368,22.92876,73.91756
can,Canada,1996,3.11251,22.75012,74.13737
can,Canada,1997,3.00698,23.05684,73.93618
can,Canada,1998,2.99068,23.11724,73.89208
can,Canada,1999,2.80592,23.12116,74.07291
can,Canada,2000,2.51556,23.29428,74.19016
can,Canada,2001,2.16039,23.06264,74.77698
can,Canada,2002,2.11691,23.22966,74.65342
can,Canada,2003,2.10716,22.97344,74.9194
can,Canada,2004,2.02318,23.0491,74.92772
can,Canada,2005,2.1217,22.69053,75.18778
can,Canada,2006,2.11212,22.10614,75.78176
can,Canada,2007,2.00069,21.66567,76.33364
can,Canada,2008,1.94061,21.45969,76.5997
can,Canada,2009,1.9543,20.28508,77.76062
can,Canada,2010,1.80731,20.1507,78.04199
can,Canada,2011,1.7879,20.28533,77.92678
can,Canada,2012,1.7529,20.46268,77.78442
can,Canada,2013,1.7749,20.3271,77.898
can,Canada,2014,1.714,20.1771,78.1089
can,Canada,2015,1.6434,19.92302,78.43358
can,Canada,2016,1.57957,19.67428,78.74615
can,Canada,2017,1.5186,19.5337,78.9477
can,Canada,2018,1.4867,19.5713,78.942
can,Canada,2019,1.5118,19.27901,79.20919
chl,Chile,1991,19.08429,26.29593,54.61979
chl,Chile,1992,18.01652,26.46764,55.51583
chl,Chile,1993,16.55018,27.22214,56.22769
chl,Chile,1994,16.21995,26.05087,57.72919
chl,Chile,1995,15.70393,26.05695,58.23913
chl,Chile,1996,15.41153,26.59266,57.9958
chl,Chile,1997,14.42143,27.29272,58.28583
chl,Chile,1998,14.43855,25.52744,60.034
chl,Chile,1999,14.43143,23.42234,62.14622
chl,Chile,2000,14.44,23.39,62.17002
chl,Chile,2001,13.60135,23.9224,62.47625
chl,Chile,2002,13.5,23.86,62.64001
chl,Chile,2003,13.59864,23.39765,63.00371
chl,Chile,2004,13.36,23.6,63.04
chl,Chile,2005,13.15999,22.94999,63.89
chl,Chile,2006,12.84871,23.28767,63.86362
chl,Chile,2007,12.31123,23.38233,64.30643
chl,Chile,2008,11.71882,23.53764,64.74352
chl,Chile,2009,11.1748,23.08864,65.73657
chl,Chile,2010,10.60539,22.95748,66.43713
chl,Chile,2011,10.26148,23.37455,66.36397
chl,Chile,2012,9.98241,23.82982,66.18777
chl,Chile,2013,9.4747,23.8776,66.6477
chl,Chile,2014,9.40201,23.48732,67.11066
chl,Chile,2015,9.37752,23.28432,67.33816
chl,Chile,2016,9.4803,23.01099,67.5087
chl,Chile,2017,9.25241,22.74082,68.00677
chl,Chile,2018,9.21608,22.32908,68.45484
chl,Chile,2019,8.96382,22.20547,68.83071
chn,China,1991,59.7,21.4,18.9
chn,China,1992,58.49999,21.70001,19.8
chn,China,1993,56.4,22.4,21.2
chn,China,1994,54.3,22.7,23.0
chn,China,1995,52.2,23.0,24.8
chn,China,1996,50.5,23.5,26.0
chn,China,1997,49.9,23.7,26.4
chn,China,1998,49.8,23.5,26.7
chn,China,1999,50.1,23.0,26.9
chn,China,2000,50.01,22.4955,27.4945
chn,China,2001,50.00999,22.29554,27.69447
chn,China,2002,50.01,21.39572,28.59428
chn,China,2003,49.1,21.6,29.3
chn,China,2004,46.9,22.5,30.6
chn,China,2005,44.8,23.8,31.4
chn,China,2006,42.6,25.2,32.2
chn,China,2007,40.79999,26.8,32.4
chn,China,2008,39.6,27.2,33.20001
chn,China,2009,38.1,27.8,34.1
chn,China,2010,36.7,28.7,34.6
chn,China,2011,34.80118,29.50081,35.69801
chn,China,2012,33.60226,30.3017,36.09604
chn,China,2013,31.40315,30.10249,38.49436
chn,China,2014,29.50388,29.90329,40.59284
chn,China,2015,28.59302,29.1862,42.22078
chn,China,2016,27.7049,28.80498,43.49013
chn,China,2017,26.98513,28.11587,44.899
chn,China,2018,26.07398,28.32487,45.60115
chn,China,2019,25.33715,27.42047,47.24237
cub,Cuba,1991,25.06165,29.34296,45.59536
cub,Cuba,1992,25.57136,29.10073,45.32794
cub,Cuba,1993,26.34741,27.78676,45.86584
cub,Cuba,1994,25.89223,25.87781,48.22996
cub,Cuba,1995,25.49841,23.12629,51.3753
cub,Cuba,1996,25.35432,23.0444,51.60127
cub,Cuba,1997,25.32567,23.02803,51.6463
cub,Cuba,1998,26.47844,20.93264,52.58892
cub,Cuba,1999,27.34332,19.17992,53.47675
cub,Cuba,2000,27.28138,19.15487,53.56372
cub,Cuba,2001,26.01019,18.86664,55.12317
cub,Cuba,2002,24.77667,18.56175,56.66158
cub,Cuba,2003,23.58611,18.32709,58.08681
cub,Cuba,2004,22.32812,18.18442,59.48746
cub,Cuba,2005,21.08569,18.15527,60.75904
cub,Cuba,2006,19.8579,18.16366,61.97843
cub,Cuba,2007,18.7368,18.02821,63.23501
cub,Cuba,2008,18.56305,18.08569,63.35126
cub,Cuba,2009,18.71439,17.56347,63.72214
cub,Cuba,2010,18.59181,17.06707,64.34112
cub,Cuba,2011,19.68627,17.14746,63.16627
cub,Cuba,2012,19.23733,19.16932,61.59336
cub,Cuba,2013,18.56951,17.17877,64.25174
cub,Cuba,2014,18.84787,16.86955,64.28257
cub,Cuba,2015,18.60266,17.07392,64.32342
cub,Cuba,2016,18.28461,17.05951,64.6559
cub,Cuba,2017,17.93706,16.9913,65.07165
cub,Cuba,2018,17.62809,17.07703,65.29488
cub,Cuba,2019,17.34381,17.06835,65.58784
deu,Germany,1991,3.48189,37.72392,58.79419
deu,Germany,1992,3.39839,37.36948,59.23214
deu,Germany,1993,3.34619,36.73694,59.91688
deu,Germany,1994,3.2573,36.42239,60.32031
deu,Germany,1995,3.17,36.0036,60.8264
deu,Germany,1996,2.9354,35.26957,61.79503
deu,Germany,1997,2.9421,34.6738,62.3841
deu,Germany,1998,2.7805,34.3895,62.83
deu,Germany,1999,2.8652,33.8327,63.3021
deu,Germany,2000,2.6375,33.5309,63.8316
deu,Germany,2001,2.6159,32.7811,64.603
deu,Germany,2002,2.487,32.3674,65.1456
deu,Germany,2003,2.4246,31.37783,66.19756
deu,Germany,2004,2.3551,31.2536,66.3913
deu,Germany,2005,2.3737,29.8401,67.78619
deu,Germany,2006,2.2679,29.65233,68.07977
deu,Germany,2007,2.2585,29.89627,67.84523
